Name,TotalTime,RecipeCategory,Keywords,RecipeIngredientParts,RecipeInstructions,Calories
Filipino Shrimps Sauteed,PT30M,Filipino,"c(""Asian"", ""Very Low Carbs"", ""High Protein"", ""Healthy"", ""High In..."", ""< 30 Mins"")","c(""shrimp"", ""onions"", ""garlic cloves"", ""soy sauce"", ""sugar"", ""cornstarch"", ""water"", ""tomatoes"")","c(""put oil in skillet."", ""add crushed cloves garlic and finely  diced onion."", ""peel and devein shrimp leaving tails on."", ""add to pan fry."", ""add tomato diced fine."", ""add sugar."", ""add mountain dew or sprite."", ""cook 5 minutes."", ""add cornstarch and water."", ""cook until thick."")",146.3
Adobong Pusit  Filipino Squid,PT3H,Squid,"c(""No Shell Fish"", ""Filipino"", ""Asian"", ""< 4 Hours"")","c(""squid"", ""water"", ""vinegar"", ""pepper"", ""garlic cloves"", ""onion"", ""tomatoes"", ""sugar"", ""bay leaf"")","c(""Clean squid."", ""Chop tomatoes."", ""Crush garlic."", ""Slice onion."", ""Combine water, vinegar, pepper, sugar, salt, bay leaf and half of the garlic."", ""Marinate squid in this mixture for 1 hour."", ""Drain squid, keeping the marinade."", ""In pan, saute onion, remaining garlic and tomato in the oil."", ""Add drained squid."", ""Saute until juice evaporates, about 10 minutes."", ""Strain marinade."", ""Add to squid mixture."", ""Simmer 15 minutes."")",180
Chicken Marmalade,PT3H,Chicken,"c(""Poultry"", ""Meat"", ""Filipino"", ""Asian"", ""< 4 Hours"")","c(""whole chicken"", ""soy sauce"", ""orange marmalade"", ""pepper"", ""salt"")","c(""Cut up chicken."", ""Mix orange juice, soy sauce, orange marmalade, peach preserves, pepper and salt together."", ""Marinate chicken in mixture for 2 hours."", ""bake chicken in 375 degree Fahrenheit oven for 45 minutes."", ""Turn chicken."", ""Bake 15 minutes more."")",804.1
Filipino Lumpia,PT1H5M,Filipino,"c(""Asian"", ""Very Low Carbs"", ""Free Of..."", ""< 4 Hours"")","c(""lumpia skins"", ""ground sausage"", ""garlic powder"", ""carrots"", ""onion"", ""bean sprouts"", ""soy sauce"")","c(""Heat vegetable oil in frying pan, throw in Carrots, Onion, and Bean Sprouts, cook on med. for about 5 - 10 minutes, don't let mixture burn. Remove from heat, drain off excess oil."", ""Now cook your Sausage in pan untill all brown, don't over cook. Remove from heat let cool."", ""Mix veggie mixture, and meat together in large bowl, add soy sauce and Garlic powder, mix very well."", ""Now to assemble --"", ""First off, you need to keep the lumpia wrappers moist, not sopping wet, just don't let them dry out, they get very brittle. We like to use a spray bottle just for this."", 
""Lay out your wrapper, use about 2 good sized tablespoons of the mixture, place at one end with about 1 inch from the end. spread out in an even line, but not all the way to the sides, you will need to roll those inches."", ""Now that you have that done, start rolling untill you get near the middle, then fold in the sides, and finish rolling, use a little egg wash to seal."", ""Now to cook the whole thing --"", ""Deep fry for about 3-5 minutes, or until golden brown, at about 350. Pull out of oil, and let dry on paper towels. serve."", 
""Enjoy!"")",655.3
Filipino Style Spaghetti,PT35M,One Dish Meal,"c(""Spaghetti"", ""Meat"", ""Filipino"", ""Asian"", ""Sweet"", ""< 60 Mins"", ""Inexpensive"")","c(""spaghetti noodles"", ""ground beef"", ""ground turkey"", ""garlic cloves"", ""onion"", ""carrot"", ""sugar"", ""bay leaf"", ""cheese"", ""olive oil"", ""water"")","c(""Cook the noodles as per package direction. Drain and rinse. Set aside."", ""Slice the hot dogs on the bias (diagonally) and nuke them til cooked, about 1-2 minutes depending on your microwave."", ""Heat some oil. Saute garlic and onions. Then add in the meat. Cook till brown. Season with some salt and pepper."", ""Pour in the spaghetti sauce, banana ketchup, sugar, bay leaf and water."", ""Mix and let it simmer for about 10 minutes until it gets thick and red."", ""Add in the hot dogs last. Mix and just let the hot dogs heat through. Sauce is done!"", 
""Top the noodles with the warm sauce. Sprinkle with quick melt cheese!"")",1060.8
Chicken Adobong,PT2H,Chicken Breast,"c(""Chicken"", ""Poultry"", ""Meat"", ""Filipino"", ""Asian"", ""< 4 Hours"")","c(""chicken breasts"", ""rice vinegar"", ""soy sauce"", ""brown sugar"", ""peppercorns"", ""coconut milk"", ""cornstarch"", ""water"", ""cooked long-grain rice"")","c(""Mix together the rice vinegar, soy sauce, brown sugar and peppercorns."", ""Add the chicken breasts (they can be boneless or bone-in)."", ""Place in the refrigerator to marinate for at least one hour."", ""Transfer to a large pot with a lid and cook over low to medium heat for 30 minutes."", ""Add the coconut milk and continue to cook for another 15 minutes."", ""Remove chicken and let cool until you can pick it off the bone and shred it."", ""Strain the sauce."", ""Mix the corn starch and water together until there are no lumps."", 
""Add to the sauce and bring to a simmer for 10 minutes."", ""Add in the shredded chicken, heat and serve over rice."")",799.8
Filipino Breakfast Steak,PT12H30M,Breakfast,"c(""Steak"", ""Meat"", ""Filipino"", ""Asian"", ""High Protein"", ""High In..."", ""Easy"")","c(""garlic"", ""brown sugar"", ""black pepper"", ""salt"")","""Mix together the minced garlic, salt, black pepper, and sugar. Spread the mixture on the sirloin and place into refrigerator overnight. Bake or broil. Serve.""",2178.5
Pinakbet (Filipino Meat Veggie Stew With Shrimp Paste),PT40M,Stew,"c(""Onions"", ""Vegetable"", ""Filipino"", ""Asian"", ""< 60 Mins"")","c(""pork"", ""garlic cloves"", ""onion"", ""tomatoes"", ""calabaza squash"", ""okra"", ""Japanese eggplants"", ""bitter melon"", ""water"", ""bagoong"")","c(""In a large, deep skillet (or casserole), heat oil over medium heat. Cook pork until it turns slightly brown."", ""Stir in garlic, onions and tomatoes. Sauté for a few minutes until tomatoes are wilted."", ""Add squash and okra, stir-fry for a minute or two and then add the rest of the vegetables. Gently stir to combine."", ""Pour in water and add the bagoong alamang, and bring to a boil."", ""Lower the heat and simmer covered over low heat until vegetables are tender. Be sure not to overcook it. You may wish to correct the taste by adding a little bit of bagoong alamang. Gently stir to blend."", 
""Immediately remove from heat. Transfer to a serving dish. Serve hot alongside steamed rice."")",308.9
Filipino Shrimp in Coconut Milk,PT45M,Filipino,"c(""Asian"", ""Low Protein"", ""< 60 Mins"")","c(""shrimp"", ""sweet potato"", ""carrots"", ""bell peppers"", ""coconut milk"", ""water"", ""ginger"", ""garlic"", ""fish sauce"", ""lemon"", ""white rice"", ""water"")","c(""Rice: 2 cups water to 1 cup rice. In a pot, boil, lower temperature to low, until there is no more water (approx 40 minutes). Keep covered the entire time, you may look inside to see when it is cooked. Stir with a fork when cooked. If you start cooking the rice before doing any of the rest, it should be done at the same time as the rest."", ""Peel and cut sweet potato into strips (like thin fries). Peeling takes a while, so set a little time before apart. Cut other vegetables into strips as well. Slice up ginger and garlic, remembering to take off all the skin."", 
""In a wok, heat 6 tbsp of oil over medium high . (This may seem like a lot of oil, but there 1 sweet potato makes a lot of fries.) Add sweet potato, stir fry until soft, NOT MUSHY. Set aside on paper towel to absorb excess oil."", ""Keep the oil and fry ginger and garlic until lightly golden. Add shrimp and fry quickly until pink. Add a bit more oil if necessary. SHRIMP COOKS VERY QUICKLY, SO DON'T OVERDO IT. Unless you want chewing gum in your meal --."", ""Once the shrimp is pink, add coconut milk, fish sauce and remaining vegetables. Boil, simmer until vegetables are cooked, again DO NO OVERCOOK. It's important to keep a slight crunch to the vegetables."", 
""Serve over rice with sweet potato, season generously with lemon."")",598.7
Lola Alma's Pancit,PT1H30M,Filipino,"c(""Asian"", ""< 4 Hours"")","c(""olive oil"", ""garlic cloves"", ""onion"", ""chicken"", ""pepper"", ""salt"", ""soy sauce"", ""mushroom"", ""snow peas"", ""celery"", ""carrots"", ""napa cabbage"", ""olive oil"", ""green onion"")","c(""In a skillet, add 2 tbsp of olive oil and brown 6 cloves of garlic.  Add onions and cook until clear."", ""Add chinese sausage and chicken.  Add pepper and salt to taste."", ""Add chicken stock and soy sauce until the chicken is covered 3/4 of the way.  Bring to a boil."", ""Add remaining ingredients and simmer for 30 minutes."", ""Toss in noodles until completely mixed."", ""Optional: Add 1 tbsp of olive oil for color.  Top with chopped green onions."")",695
Lola Alma's Chicken Adobo,PT1H,Stew,"c(""Chicken"", ""Poultry"", ""Meat"", ""Filipino"", ""Asian"", ""< 60 Mins"", ""Beginner Cook"", ""Easy"")","c(""chicken"", ""seasoning salt"", ""bulb of garlic"", ""black pepper"", ""bay leaves"", ""soy sauce"", ""red wine vinegar"")","c(""Place chicken in a large stock pot."", ""Add seasoned salt, garlic, black pepper, bay leaves, soy sauce, and red wine vinegar."", ""Cook on high heat for 30-40 minutes until you can see the meat start to break away from the bone."")",432.8
Sweet &amp; Sour Fish,PT50M,Filipino,"c(""Asian"", ""< 60 Mins"", ""Beginner Cook"", ""Easy"")","c(""salt"", ""pepper"", ""onion"", ""minced garlic cloves"", ""carrots"", ""bell pepper"", ""sugar"", ""water"", ""soy sauce"", ""salt"", ""distilled vinegar"", ""water"")","c(""In a skillet, fry the fish. Set aside."", ""In making the sauce, mix first  the sugar, water, soy sauce, salt  and vinegar then boil. After boiling, put the cornstarch mixture. Stir."", ""Put the  onion, garlic, carrots and bell pepper. Add salt and pepper to taste. Let it cook for 3 minutes."", ""Pour the sauce in the fish."", ""Serve hot."")",136.2
Cebu-Style Roast Chicken,PT1H25M,Filipino,"c(""Asian"", ""Roast"", ""Oven"", ""< 4 Hours"")","c(""whole chicken"", ""sea salt"", ""black pepper"", ""garlic powder"", ""lemongrass"", ""spring onions"")","c(""Preheat oven to 475°F."", ""Rinse and pat the chicken dry (this will make the skin crunchy).  Set aside."", ""Wash the spring onions and the lemon grass stalks well.  Slice the stalks in half.  Set aside."", ""Sprinkle sea salt and black pepper into the inside of the chicken."", ""Stuff the chicken with the spring onions and the lemon grass."", ""Rub the chicken with sea salt, black pepper, and garlic powder.  In an oven-safe pan or stoneware, roast the chicken @ 475F for 45 minutes."", ""Lower the oven temperature to 375F and continue to roast for 30 minutes."", 
""Serve with hot rice and cold Coca-cola."")",721.4
Adobo Style Shrimp (Filipino),PT11M,Filipino,"c(""Asian"", ""Savory"", ""< 30 Mins"", ""< 15 Mins"", ""Beginner Cook"", ""Stir Fry"", ""Easy"", ""Inexpensive"")","c(""medium shrimp"", ""vinegar"", ""water"", ""soy sauce"", ""garlic cloves"", ""salt"", ""pepper"", ""sugar"", ""scallions"")","c(""Wash shrimp and cut off whiskers. Drain."", ""Place in pan or wok, add all ingredients except sugar and cooking oil."", ""Cook shrimp until not quite cooked on MED HEAT, maybe 2-4 minutes depending on your shrimp size."", ""Drain shrimp (along with garlic). Set sauce aside, and add the sugar."", ""Heat cooking oil and fry shrimp and garlic together on MED LOW HEAT."", ""When garlic is lightly browned, return the sauce to the pan and finish cooking shrimp."", ""[Be sure to not overcook the shrimp-- you can tell if they turn into little O's\"" instead of C's]."", 
""[Note: If you want a spicy \""adobo\"", add 1 tablespoon of hot sauce or 1-2 minced hot peppers of your preference.]."", ""Put on serving platter and garnish with chopped scallions (optional)."", ""Serve with steamed Jasmine rice."")",421
Polvoron With Cashews (Filipino Shortbread),PT1H,Dessert,"c(""Cookie & Brownie"", ""Filipino"", ""Asian"", ""Sweet"", ""< 60 Mins"", ""For Large Groups"", ""Inexpensive"")","c(""all-purpose flour"", ""sugar"", ""butter"", ""salt"", ""cashews"")","c(""If you want to make it with cashews: If you haven't done so already, crush the cashews. I like to crush it to the point where about half of it is almost powder and the rest is in small pieces. Over medium heat, melt a sliver of butter and toast the crushed cashews stirring occasionally until golden brown."", ""Using a large skillet, toast the flour over medium to low heat. You want to make sure that you are stirring it continuously to avoid burning. Be patient! This can take up to 20-30 minutes. Just continue until the flour is tan/beige in color. Once toasted, remove from heat and allow it to cool completely."", 
""Sift cooled toasted flour with the pinch of salt into a large mixing bowl."", ""In another large mixing bowl, sift together the powdered milk and the sugar."", ""Add the flour mixture into the powdered milk/sugar mixture and stir well."", ""Once combined, sift all the ingredients together back into the other large bowl (the one that previously held the flour)."", ""Pour in the melted butter into the mixture and stir well. The texture will be like lightly damp sand."", ""If you have a molder, simply fill the mold with the mixture and press firmly with the back of a spoon. Release the shaped polvoron and set aside and repeat."", 
""If you don't have a molder (like me), use a mini cupcake pan:"", ""Fill the mini cupcake pan with the mixture and press with the back of a spoon. If you want a completely flat surface on top, you can use the cap of a bottle. Once all cupcake holes are filled, place a tray (or a cutting board) big enough to cover the whole tray and carefully flip it over. The result will be perfectly shaped biscuits. If it doesn't come out, you can try using a meat pounder and lightly hit the tray when it's flipped over."", 
""Once you have molded all of the Polvorons, stack and store into an airtight container. Freeze for a couple of hours and remove."", ""If you want to, wrap each Polvoron individually with the cellophane paper."")",120.2
Filipino Chocolate Meat (Dinuguan),PT45M,Pork,"c(""Meat"", ""Filipino"", ""Asian"", ""< 60 Mins"")","c(""vinegar"", ""fish sauce"", ""garlic cloves"", ""onion"", ""bay leaf"", ""ground black pepper"", ""Accent seasoning"", ""kosher salt"")","c(""Prepare pork blood by straining it and separating the blood that is in a jelly form in a separate bowl."", ""Next add ¼ cup of water and break up the jellied blood with your hands and set aside."", ""Slice pork into small bite sized pieces and set aside."", ""Heat 1 tbsp of corn oil, add the pork, and spread it evenly on the bottom of the pot. Cover and let it cook on medium low heat for three minutes without stirring it."", ""Remove cover, stir the pork, and drain the liquid accumulated. Add garlic and sauté for one minute, then add the onions, stir, and cover."", 
""Let it cook for another minute. Next add fish sauce and bay leaf and sauté for 3 minutes."", ""Then add ½ cup of vinegar, cover, and bring to a boil. Lower the heat and let it simmer for 3 minutes."", ""Add the chicken stock and salt and let it simmer for five minutes. Add the jelly formed pork blood first, stir for about a minute, then add the rest of the pork blood and the jalapenos."", ""Continue to stir for about two minutes, cover, and let simmer for another five minutes. Add another ½ cup of vinegar. Again cover and let it simmer for an additional 5 minutes."", 
""Adjust the taste by adding salt & pepper if needed. For extra flavor, you can use Accent flavor seasoning. Serve with white rice."")",963
Chicken Adobo,PT50M,One Dish Meal,"c(""Chicken Breast"", ""Chicken"", ""Poultry"", ""Meat"", ""Filipino"", ""Asian"", ""Very Low Carbs"", ""< 60 Mins"", ""Beginner Cook"", ""Easy"", ""Inexpensive"")","c(""water"", ""distilled white vinegar"", ""soy sauce"", ""peppercorn"", ""garlic cloves"", ""chicken breasts"", ""bay leaves"")","c(""1. In a large pot, combine the water, vinegar, soy sauce, peppercorns, garlic, bay leafs, and salt. Mix together, add chicken pieces and simmer over low heat (uncovered) until chicken is cooked through and tender"", ""2. Remove chicken from pot and brown in oil in a large skillet over medium high heat."", ""3. Return chicken, with oil/juices, back to pot with reserved sauce. Cover and simmer over medium heat until desired amount of sauce is yielded."")",423.2
Shortcut Filipino-Style Ensaymada Especial,PT2M,Breads,"c(""Breakfast"", ""Cheese"", ""Filipino"", ""Asian"", ""Kid Friendly"", ""Sweet"", ""< 15 Mins"", ""Easy"", ""Inexpensive"")","c(""butter"", ""granulated sugar"", ""mild cheddar cheese"", ""ham"")","c(""Take a sweet roll"", ""Spread butter on top."", ""Sprinkle sugar over the butter."", ""Garnish with cheese and ham."", ""Eat & enjoy!"")",350.3
"Filipino Style Chicken Soup With Mung Beans, Garlic and Bay Leav",PT1H10M,Chicken,"c(""Long Grain Rice"", ""Poultry"", ""Rice"", ""Grains"", ""Meat"", ""Filipino"", ""Asian"", ""Low Cholesterol"", ""Stove Top"", ""< 4 Hours"", ""Easy"")","c(""chicken wings"", ""onions"", ""garlic cloves"", ""bay leaves"", ""potatoes"", ""chicken bouillon cubes"", ""hot water"", ""turmeric"", ""rice"", ""chili sauce"")","c(""Place chicken, onions, bay leaves, garlic if fresh used and oil in a pot and saute until onions and chicken are golden brown. Add the rest of ingredients and cook covered on low heat about an hour, until chicken, mung and potatoes are ready."", ""Add some more water if soup is too thick."", ""Serve with rice topped with chilli sauce on a side."")",883.8
"Filipino Spicy Sweet Potato Shoots, Tomato, Onion Salad",PT5M,Vegetable,"c(""Filipino"", ""Asian"", ""< 15 Mins"", ""Beginner Cook"", ""Easy"")","c(""grape tomatoes"", ""red onion"", ""limes"", ""lemon"", ""limes"", ""lemon"", ""garlic clove"", ""chili pepper"", ""fish sauce"", ""salt"", ""black pepper"", ""sweet potatoes"")","c(""Combine tomatoes, red onions, lemon/lime juice, zest, garlic, chili pepper, fish sauce, salt, and pepper.  Toss together.  Allow it to marinate for 5-10 minutes."", ""Combine the tomato and onion mixture with the blanched sweet potato shoots.  Toss together. Adjust salt & seasoning to taste."", ""Drizzle with oil."", ""Serve with white rice and fried fish or pork."")",106.7
Pancit,PT1H15M,Pork,"c(""Meat"", ""Filipino"", ""Asian"", ""< 4 Hours"")","c(""frozen green beans"", ""onion"", ""garlic cloves"", ""celery"", ""green onions"", ""carrots"", ""cabbage"", ""soy sauce"")","c(""Boil pork chops for 30-45 minutes."", ""Let pork chops cool and pull apart into bite size pieces.  Remove the fat."", ""Reserve broth."", ""Soak rice noodles in cold water for 10-15 min until soft."", ""Heat oil and saute onions and garlic until soft."", ""Add celery and carrots continue stir frying for 2-3 minutes."", ""Add cabbage and stir fry for about 5 minutes more."", ""Add green beans and stir fry for 1-2 minutes."", ""Add about 1/4 c broth and 1/4 c soy sauce and bring to a boil."", ""Pull noodles apart with hands to make in closer to bite size pieces before draining."", 
""Add 1/4 c broth, if needed."", ""Add noodles and mix together."", ""Serve immediately."")",455.4
Cheesy Creamy Baked Macaroni,PT2H,Lunch/Snacks,"c(""Filipino"", ""Asian"", ""Potluck"", ""< 4 Hours"")","c(""small shell pasta"", ""butter"", ""garlic cloves"", ""onion"", ""ground beef"", ""garlic powder"", ""onion powder"", ""soy sauce"", ""Worcestershire sauce"", ""chicken bouillon cube"", ""sugar"", ""ketchup"", ""cheese"", ""butter"", ""flour"", ""chicken broth"", ""cheese"")","c(""Red sauce:."", ""Melt butter in pan. Sauté onions and garlic. Add beef, salt, pepper, garlic salt, garlic powder, onion powder, soy sauce, and Worcestershire sauce. Once the beef is done, add the Ragu, Jufran and simmer until it bubbles. Add the boullion cube and sugar. Simmer for about 10 minutes Then add the shredded cheese. Allow it to melt and simmer for an additional 10 minutes Adjust to taste."", ""White sauce:."", ""Melt butter in pan; add flour while stirring constantly to remove the lumps. Once it has been well mixed, add the all purpose cream and chicken broth. Increase heat and stir constantly until the mixture has thickened. Add the cream of mushroom soup and mix well. Add more chicken broth to thin out sauce or add more flour to thicken."", 
""Assembly: Preheat oven to 325°F Mix the red sauce with the cooked macaroni and put it onto the baking dish. Layer it with the white sauce and top with the shredded cheese. Bake until the top has lightly browned."")",878
Beef Pares,PT1H30M,Stew,"c(""Meat"", ""Filipino"", ""Asian"", ""< 4 Hours"", ""Easy"")","c(""beef"", ""soy sauce"", ""beef broth"", ""white sugar"", ""star anise"", ""onions"", ""garlic"", ""cornstarch"", ""ginger"")","c(""1.Heat oil in a pan sauté onion, garlic and ginger."", ""2.Put Beef, salt and pepper in a Pan and stir."", ""3.Put Brown and white sugar stir well till the sugar melt."", ""4.Pour Soy Sauce, Beef Broth and Star Anis Let it Simmer for"", "".5. Serve Hot."")",1338.2
Pork Adobo (Variation),PT2H30M,Pork,"c(""Meat"", ""Filipino"", ""Asian"", ""Stove Top"", ""< 4 Hours"")","c(""canola oil"", ""pork"", ""salt"", ""pepper"", ""vinegar"", ""soy sauce"", ""coconut milk"", ""garlic"", ""bay leaves"")","c(""NOTES. I use boneless country pork ribs, trim the fat, and cut into cubes about 2\"" square. Apple cider vinegar, sherry vinegar, or Filipino white vinegar are all fine to use. This can be a little salty; you may want to substitute low-sodium soy sauce. Yes, that's 1 whole head garlic, many cloves! Use more bay leaves if they're small. For the chile, you can leave it whole; I slice it down the middle and remove the seeds. You can add more if you like it hotter. This makes a lot of sauce, the better for ladling onto your rice!"", 
""In a large saucepan over medium-high heat, warm the oil until very hot but not smoking. Season the meat generously with salt and pepper. Add meat to the pan (in batches if necessary) and brown well on all sides."", ""Transfer meat to the pan and pour off oil. Add the vinegar to the pan and scrape up any sticky bits. Return meat to pan."", ""Add soy sauce, chicken stock, coconut milk, garlic, bay leaves, and chile. Bring to a boil, then reduce heat and simmer, covered, for about 1 hour until meat is tender."", 
""Transfer ribs to a plate. Increase the heat and reduce the sauce by half. Discard the bay leaves and chile. Return meat to the pot, or arrange meat on a platter and pour the sauce on top."")",1015.9
Beef Salpicao,PT20M,Meat,"c(""Filipino"", ""Asian"", ""Weeknight"", ""< 30 Mins"")","c(""beef tenderloin"", ""olive oil"", ""garlic"", ""olive oil"", ""Worcestershire sauce"", ""black pepper"")","c(""Cut beef into cubes or strips."", ""Mix garlic, 2 tablespoons olive oil, Worcestershire sauce, liquid seasoning and black pepper together in a mixing bowl."", ""Marinate for at least 2 hours."", ""Then saute with olive oil for 3-4 minutes or until meat is brown. Do not overcok."", ""Serve in top or at the side of garlic rice. Garnish with fried garlic."")",417.1
Rosie's Chicken and Pork Adobo,PT1H5M,Pork,"c(""Meat"", ""Filipino"", ""Asian"", ""< 4 Hours"")","c(""onion"", ""tomatoes"", ""garlic cloves"", ""bay leaves"", ""peppercorn"", ""pork"", ""white vinegar"", ""soy sauce"", ""ground pepper"")","c(""Saute onion, tomato,garlic, bay leaves and peppercorns in oil til onions are soft."", ""Add Pork."", ""Pour vinegar and soy sauce over the top and bring to a boil then simmer about 30 minute covered."", ""Add Chicken and layer remaining onions on top."", ""Simmer until chicken is done."")",406
Shrimp With Veggies,PT25M,One Dish Meal,"c(""Filipino"", ""Asian"", ""Weeknight"", ""< 30 Mins"")","c(""shrimp"", ""soy sauce"", ""white wine"", ""onion"", ""green pepper"", ""carrot"", ""garlic cloves"", ""lime"", ""basil"", ""cayenne"")","c(""Heat the oil in the skillet."", ""Add the garlic for 30 second."", ""Then add the onions for 2 minute."", ""Add the green pepper and carrot for 3 minutes."", ""Put the all the ingredients and mix it well."", ""Cook it for 10 minutes."")",459.7
Beef With Veggies,PT48M,One Dish Meal,"c(""Meat"", ""Filipino"", ""Asian"", ""Weeknight"", ""< 60 Mins"")","c(""beef"", ""onion"", ""celery"", ""green beans"", ""olive oil"", ""soy sauce"", ""basil"", ""carrot"", ""wine"", ""black pepper"", ""beef bouillon cubes"")","c(""Heat the olive in the skillet."", ""Add the onions for 3 minutes."", ""Add the beef and the soy sauce."", ""Let is simmer for 30 minutes."", ""Add all the ingredients."", ""And simmer it for another 5 minutes."")",1663
Sweet Rice Cake  (Bibingkang  Malagkit),PT1H,Dessert,"c(""Rice"", ""Filipino"", ""Asian"", ""Low Protein"", ""Healthy"", ""Potluck"", ""< 60 Mins"", ""For Large Groups"")","c(""sweet rice"", ""water"", ""coconut milk"", ""sugar"", ""salt"", ""dark brown sugar"", ""evaporated milk"", ""milk"", ""unsalted butter"", ""flour"", ""water"")","c(""Soak rice in 3 1/2 cups water overnight."", ""Combine rice with coconut milk, sugar, and salt in a rice cooker or heavy non-stick pot over medium low heat, stirring frequently until fully cooked. Add a little more water if needed. If you are using a rice cooker, keep cooker on warm setting until rice is cooked."", ""Line a 9x13x2 inch pan with foil greased with butter."", ""Transfer rice to pan and spread evenly; smoothing the top with the back of a spoon. Set aside."", ""Combine flour and 4 tablespoons water in a small cup and stir to make a slurry and set aside."", 
""Combine brown sugar, butter, evaporated milk, and milk in a non-stick saucepan over medium heat.  Cook, stirring constantly until mixture comes to a boil."", ""Stir in flour mixture and whisk until sauce has thickened and is smooth."", ""Spread over rice evenly."", ""Brown top under broiler for 3-5 minutes until golden brown. Do not burn."", ""Let cool at room temperature until firm and cut into pieces with a plastic knife."", ""I decrease the sugars by 1/2 cup and cut the salt to 1/2 tsp as I do not like very sweet desserts. Sweet rice is available in Asian markets.  The short grain sweet rice is normally used.  Long-grained glutinous rice is used by Thai's for sweet sticky rice.  Coconut milk can be purchased canned or frozen.""
)",365.5
Filipino Chicken Adobo,PT2H,Stew,"c(""Chicken"", ""Poultry"", ""Rice"", ""Meat"", ""Filipino"", ""Asian"", ""Toddler Friendly"", ""Kid Friendly"", ""Weeknight"", ""Beginner Cook"", ""< 4 Hours"", ""Easy"")","c(""chicken"", ""soy sauce"", ""vinegar"", ""garlic powder"", ""pepper"", ""msg"", ""onion"", ""bay leaves"")","c(""Place chicken in a big stock pot."", ""Put in all your ingredients, you don't have to mix, it will mix when it boils."", ""After you add the ingredients, put in enough water to cover the chicken."", ""Bring to a full boil."", ""Once it starts boiling, turn the heat down (medium-high heat) enough to where it's a soft boil (boiling but not over boiling out of pot) and cover with lid but with a crack."", ""Stir every half hour or so."", ""Let it boil all the way until there is about only 1 inch of liquid left.  This is usually about an hour to an hour and a half."", 
""The chicken should also be dark brown all the way through, if the meat is still whitish then you need to cook it longer."", ""Add the sliced onions and stir if using."", ""Cook for only 5 min just enough for the onions to turn soft."", ""Serve alone or with cooked white rice or my savory garlic fried rice."")",524.2
Filipino Garlic Fried Rice (Sinangag),PT20M,White Rice,"c(""Rice"", ""Filipino"", ""Asian"", ""Savory"", ""Weeknight"", ""< 30 Mins"", ""Beginner Cook"", ""Easy"", ""Inexpensive"")","c(""cooked white rice"", ""butter"", ""salt"", ""garlic powder"", ""Accent seasoning"", ""eggs"")","c(""In a large skillet melt the butter on medium heat."", ""Once the butter has melted, stir in the garlic powder, salt, and Accent."", ""Add the cold, cooked rice to the skillet and fry the rice on medium high heat until the rice has been well coated with the butter mixture and its thoroughly heated through."")",225.3
Filipino Egg Rolls,PT1H,Pork,"c(""Meat"", ""Filipino"", ""Asian"", ""Kid Friendly"", ""Weeknight"", ""< 60 Mins"", ""For Large Groups"")","c(""lumpia skins"", ""cabbage"", ""ground pork"", ""green pepper"", ""carrot"", ""celery"", ""onion"", ""soy sauce"", ""fennel seed"", ""ground pepper"", ""Accent seasoning"")","c(""In a wok, fry up the ground pork, drain and set aside."", ""Heat the same wok on high heat.  Once the wok is very hot add the sesame oil."", ""Once the oil starts to smoke add the cabbage, pepper, green pepper, carrots, celery, fennel seeds and onions.  Stir fry quickly - if the vegetables start to turn watery then the heat is not high enough."", ""Stir in the ground pork and the accent and soy sauce."", ""Let this mixture completely cool to room temperature, or you can put it in fridge overnight."", ""Once the mixture has cooled, you are now ready to roll the egg rolls."", 
""Roll the egg rolls according to the directions on the egg roll wrappers package if you are not familiar on how to roll them."", ""Oil Fry:  Fry the wrapped egg rolls in oil that has been heated to 350 degrees in a deep fryer for 3 minutes, if you are using a skillet to fry them, just turn them over half way through the cooking to cook both sides."", ""Air Fryer:  Air fry for 3-4 minutes on 400 degrees.  If using frozen egg rolls, air fry for 7-8 minutes at 400 degrees."", ""Or you can store the un-fried egg rolls in the freezer in a freezer zip lock bag, and you can have egg rolls anytime you want.""
)",343.3
Filipino Pancit,PT50M,Chicken,"c(""Poultry"", ""Meat"", ""Filipino"", ""Asian"", ""Kid Friendly"", ""Weeknight"", ""< 60 Mins"")","c(""chicken breast"", ""garlic cloves"", ""cabbage"", ""carrot"", ""onion"", ""Accent seasoning"", ""soy sauce"", ""soy sauce"", ""green onion"", ""lemon slice"")","c(""In a zip lock bag, marinade the cubed chicken with the teriyaki sauce and 2 cloves of minced garlic overnight."", ""The next day, in a large bowl, soak the rice noodles in warm water for 15-30 minutes, drain completely."", ""Drain the marinade off the chicken and discard the marinade."", ""In a skillet, heat 1 tablespoon of oil on medium high heat and brown the chicken, drain and set aside."", ""In a large pot, heat 2 tablespoons of oil on medium high heat and sautee 3 cloves of minced garlic and accent for 30 seconds."", 
""Add the carrots and stir fry for about 5 minutes."", ""Add the cabbage, onions, and 1 tablespoon of soy sauce and stir fry until the vegetables are tender."", ""Add the chicken to the vegetables and continue stir frying."", ""Now add the noodles to the pot with 1/8 cup of oil and 1/4 cup of soy sauce and mix very well."", ""Keep cooking and mixing until the noodles are tender and cooked thoroughly."", ""Serve with the green onions and/or lemon juice from the lemon slices."")",641
